,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
33,Canada,59,74,74,22,19,28,26,21,50,62,71,58,18,18,24,23,33,42,38,35,38,34
98,Croatia,,,,,,,,,,,,,,,,,,,,,,
50,Cyprus,95,47,43,60,57,57,40,34,38,39,35,12,17,20,20,14,19,21,34,47,48,41
167,Czech Republic,9,12,15,18,20,46,77,122,122,114,91,127,98,85,75,82,50,32,42,40,30,9
54,Denmark,38,53,53,61,62,60,45,45,42,42,47,41,40,37,17,23,26,26,33,40,45,44
63,Estonia,595,550,514,807,957,1001,871,99,110,184,188,188,142,125,127,80,45,32,36,49,51,50
64,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,
67,Finland,105,105,94,54,86,93,90,89,54,73,68,58,16,22,21,14,15,20,33,25,28,27
68,France,29,35,29,28,21,20,20,21,16,29,35,37,33,28,28,38,48,51,40,35,35,41
79,Germany,56,51,47,58,78,78,76,74,49,49,49,51,48,33,32,24,24,24,21,20,18,26
82,Gibraltar,,,,,,,,,,,,,,,,,,,,,,
84,Greece,96,94,54,45,52,26,43,54,40,37,42,47,46,39,21,53,50,78,87,86,54,52
85,Greenland,,,,,,,,,,,,,,,,,,,,,,
94,Holy See,,,,,,,,,,,,,,,,,,,,,,
97,Hungary,191,121,71,70,92,95,101,114,55,41,40,86,70,66,64,63,84,98,84,44,51,71
99,Iceland,73,46,36,36,31,32,13,47,45,45,34,26,24,23,22,24,30,40,55,44,40,55
104,Ireland,24,23,20,20,41,41,43,48,70,76,84,50,27,55,66,72,101,67,63,63,64,29
105,Israel,48,47,47,25,32,53,52,53,51,50,24,26,36,69,67,52,48,50,51,64,66,49
106,Italy,32,13,30,41,73,85,82,36,34,64,71,55,41,15,27,24,36,28,19,18,15,10
110,Japan,18,18,21,21,23,11,6,22,24,23,21,18,16,15,10,10,11,15,21,28,44,42
119,Latvia,643,583,536,1086,1306,1316,1109,400,385,339,275,227,150,79,56,63,61,74,68,66,47,25
125,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
126,Lithuania,589,548,518,972,1116,1116,956,347,177,93,133,176,170,120,100,82,84,79,103,53,39,48
256,Luxembourg,1,1,1,0,0,0,1,1,1,1,1,2,8,9,10,10,9,7,4,4,5,6
134,Malta,68,79,70,73,67,42,46,52,53,44,16,23,28,33,28,6,15,15,16,18,15,14
140,Monaco,,,,,,,,,,,,,,,,,,,,,,
273,Montenegro,,,,,,,,,,,,,,,,,,,,,,
150,Netherlands,42,41,56,56,57,50,54,53,58,62,46,47,37,34,43,41,47,49,67,52,38,37
156,New Zealand,56,66,63,61,61,40,17,17,18,10,9,5,18,17,16,17,26,23,28,28,25,37
162,Norway,68,73,71,33,21,26,28,29,30,42,47,30,30,28,26,17,20,34,35,36,35,11
173,Poland,63,54,80,79,75,57,57,46,48,32,33,40,42,21,15,23,33,41,36,29,25,25
174,Portugal,83,42,21,28,26,25,30,22,64,59,59,60,59,18,20,35,42,41,35,18,18,21
146,Republic of Moldova,512,469,435,810,967,978,832,259,229,193,171,124,94,62,49,37,26,35,51,60,51,34
183,Romania,25,106,102,115,114,119,58,59,38,33,39,33,30,51,60,45,25,22,40,40,42,61
185,Russian Federation,588,541,504,960,1157,1170,991,354,326,262,200,142,120,75,41,7,31,43,59,54,30,27
190,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
192,San Marino,,,,,,,,,,,,,,,,,,,,,,
272,Serbia,,,,,,,,,,,,,,,,,,,,,,
186,Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
199,Slovakia,24,20,16,13,10,80,79,80,72,54,38,60,71,69,42,16,22,20,24,25,34,54
198,Slovenia,,,,,,,,,,,,,,,,,,,,,,
203,Spain,40,33,38,35,42,56,70,51,34,38,44,26,27,13,9,11,14,18,19,35,25,22
210,Sweden,46,34,27,36,64,65,61,45,47,30,26,22,18,20,10,13,12,25,29,28,18,20
211,Switzerland,36,26,30,33,36,42,39,38,18,12,12,47,47,50,44,28,31,30,24,15,16,7
154,The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,
230,Ukraine,606,555,516,1129,1331,1311,1111,532,421,281,221,149,106,54,37,55,61,74,68,29,31,38
229,United Kingdom,23,15,22,23,27,30,45,45,40,48,58,30,20,20,24,15,13,14,18,21,18,15
231,United States of America,33,32,26,20,24,28,40,52,52,49,15,34,28,36,34,31,38,20,23,40,57,44
5801,Least developed countries,30,23,7,9,21,28,23,16,5,7,13,13,10,6,6,6,3,4,3,4,4,5
5802,Landlocked developing countries,104,100,109,201,235,240,206,69,56,52,45,39,30,18,12,10,16,15,8,8,8,14
5803,Small island developing States,39,20,16,32,47,37,28,11,13,14,30,40,37,28,21,23,25,23,13,31,25,25
5858,Low income economies,26,19,7,7,18,23,20,17,6,7,13,12,10,6,5,5,5,4,4,6,6,5
5859,Lower-middle-income economies,25,53,58,75,76,75,57,19,6,7,7,10,21,31,35,27,13,17,33,40,33,18
5816,Low-income food-deficit countries,28,39,39,41,42,32,22,21,13,10,14,12,16,28,33,26,15,16,31,36,28,15
,,,,,,,,,,,,,,,,,,,,,,,
