"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance"
"263",2001,"Croatia",21438,42167,63886,56906,0.508407048165627,1.12265841914737,2.20818815002272
"264",2001,"Cuba",6845,30917,79567,34473,0.221399230196979,2.30809619122212,10.4250416280517
"265",2001,"Curaçao",0,0,0,0,NA,NA,NA
"266",2001,"Cyprus",791,9039,6806,28683,0.0875096802743666,0.237283408290625,2.7115104014399
"267",2001,"Czech Republic",13474,50215,31187,78716,0.268326197351389,0.396196453071802,1.47654778766517
"268",2001,"Czechoslovakia",0,0,0,0,NA,NA,NA
"269",2001,"Denmark",800458,699529,2447669,1662661,1.14428136646229,1.47213954017085,1.28651884345734
"270",2001,"Djibouti",0,0,0,0,NA,NA,NA
"271",2001,"Dominica",0,573,0,1286,0,0,NA
"272",2001,"Dominican Republic",2178,0,2903,0,Inf,Inf,NA
"273",2001,"Ecuador",242467,5837,644064,4508,41.5396607846496,142.871339840284,3.43939592046644
"274",2001,"Egypt",1250,146047,1326,109830,0.00855888857696495,0.0120732040426113,1.410604184649
"275",2001,"El Salvador",2954,6408,24625,8466,0.460986267166042,2.9086935979211,6.30971854281597
"276",2001,"Equatorial Guinea",0,0,0,0,NA,NA,NA
"277",2001,"Eritrea",0,0,0,0,NA,NA,NA
"278",2001,"Estonia",155240,61454,126200,42903,2.52611709571387,2.94151924107871,1.16444294924795
"279",2001,"Ethiopia",11,15,16,41,0.733333333333333,0.390243902439024,0.532150776053215
"280",2001,"Ethiopia PDR",0,0,0,0,NA,NA,NA
"281",2001,"Falkland Is.(Malvinas)",56586,0,0,0,Inf,NA,NA
"282",2001,"Faroe Islands",209911,6436,464837,9238,32.6151336233685,50.3179259579996,1.54277847023589
"283",2001,"Fiji, Republic of",11626,9529,42295,8412,1.22006506453983,5.02793628150262,4.12103946554605
"284",2001,"Finland",15807,42264,14439,110123,0.37400624645088,0.13111702369169,0.350574422047548
"285",2001,"France",369117,933408,987055,3021637,0.395450863930886,0.326662335680957,0.826050378127506
"286",2001,"French Guiana",0,0,0,0,NA,NA,NA
"287",2001,"French Polynesia",2801,2293,10873,9782,1.22154382904492,1.11153138417502,0.909939830029743
"288",2001,"Gabon",2879,11594,9759,10552,0.248318095566672,0.924848369977256,3.72445015683095
"289",2001,"Gambia",692,719,1349,1105,0.962447844228095,1.22081447963801,1.26844741453718
"290",2001,"Georgia",3049,2688,358,1198,1.1343005952381,0.298831385642738,0.263449906398058
"291",2001,"Germany",448658,810382,933909,2270381,0.553637667174246,0.411344615727492,0.742985241280612
"292",2001,"Ghana",60186,172290,83477,90962,0.349329618666202,0.917712891097381,2.62706865395886
"293",2001,"Greece",78060,102084,198280,252959,0.764664394028447,0.783842440869864,1.02508034503919
"294",2001,"Greenland",112113,384,239194,1510,291.9609375,158.406622516556,0.542561014747243
"295",2001,"Grenada",709,934,4052,2539,0.759100642398287,1.5959038991729,2.1023614130148
"296",2001,"Guadeloupe",0,0,0,0,NA,NA,NA
"297",2001,"Guam",0,0,0,0,NA,NA,NA
"298",2001,"Guatemala",21888,5136,22406,9446,4.26168224299065,2.37200931611264,0.556589905315905
"299",2001,"Guinea",3174,1281,1470,1180,2.47775175644028,1.24576271186441,0.502779468777034
"300",2001,"Guinea-Bissau",0,0,0,0,NA,NA,NA
"301",2001,"Guyana",26123,638,61967,1025,40.9451410658307,60.4556097560976,1.47650266142442
"302",2001,"Haiti",0,0,0,0,NA,NA,NA
"303",2001,"Honduras",15344,4023,213179,10284,3.81406910265971,20.7291909762738,5.434928004272
"304",2001,"Hungary",3175,15040,4623,26907,0.211103723404255,0.171814026089865,0.813884394454038
"305",2001,"Iceland",344219,47128,1097507,54261,7.30391699202173,20.2264425646413,2.76925964338521
"306",2001,"India",464181,5658,1246514,10743,82.0397667020148,116.030345341152,1.41431832397328
"307",2001,"Indonesia",449974,28323,1555727,32241,15.8872294601561,48.2530628702584,3.0372232610647
"308",2001,"Iran (Islamic Rep. of)",5053,3147,43466,3371,1.60565618048935,12.8940967072085,8.03042199437667
"309",2001,"Iraq",155,18,193,25,8.61111111111111,7.72,0.896516129032258
"310",2001,"Ireland",277804,34834,374179,107034,7.97508181661595,3.49588915671656,0.438351510003688
"311",2001,"Israel",19,780,9486,137118,0.0243589743589744,0.0691812891086509,2.84007397393409
